Rank,Name,Period of Occurrences,Highest Wind Speed Recorded,Distance from Naga City
1,STY REMING,"Nov. 26 - Dec. 1, 2006",320,15 - SOUTH
2,STY SENING,"Oct. 11 - 15, 1970",275,DIRECT HIT
3,STY ROSING,"Oct. 30 - Nov. 4, 1995",260,40 - NORTH
4,STY ANDING ,"Nov. 21 - 27, 1981",260,30 - NE
5,STY LOLENG,"Oct. 15 - 24, 1998",250,35 - NNE
6,STY SISANG,"Nov. 23 - 27, 1987",240,30 - SW
7,STY SALING ,"Oct. 15 - 20, 1985",240,70 - NORTH
8,STY HERMING,"Aug. 07 - 14, 1987",240,70 - SSW
9,STY YAYANG,"Nov. 04 - 07, 1979",240,90 - NE
10,TY HARRIET,"Dec. 28, 1959 - Jan. 02, 1960",225,DIRECT HIT
11,TY TRIX,"Oct. 16 - 23, 1952",215,22 - NORTH
12,TY UNSANG,"Oct. 21 - 26, 1988",215,100 - NE
13,TY WARLING,"Nov. 17 - 27, 1983",205,180 - NE
14,TY WELMING,"Oct. 31 - Nov. 08, 1967",205,20 - SW
15,STY YOLING,"Nov. 17 - 20, 1970",200,90 - NORTH
16,STY DINDO,"May 13 - 19, 2004",185,117 - ENE
17,STY KADING,"Oct. 25 - 27, 1978",185,90 - NORTH
18,TY HUANING,"Jun. 22 - Jul. 02, 1976",185,70 - NE
19,TY MILENYO,"Sep. 25- 30, 2006",180,30 - SW
20,TY DINANG,"Dec. 23 - 28, 1981",175,60 - SOUTH
21,TY YONING,"Nov. 03 - 12, 1988",175,150 - SW
22,TY MONANG,"Dec. 02 - 07, 1993",170,35 - NORTH
23,TY DIDANG,"May 12 - 27, 1976",150,200 - NORTH
24,TY FRAN,"Dec. 27, 1950 - Jan. 01, 1951",150,30 - NORTH
25,TY JEAN,"Dec. 22 - 29, 1947",150,DIRECT HIT
26,TY UNDING,"Nov. 14 - 21, 2004",130,5-10 - EAST
27,TY KONSING,"Jun. 23 - 25, 1972",130,20 - SW
28,TY BEBENG,"Jul. 12 - 16, 1983",130,30 - SW
29,TY SALING,"Oct. 06 - 13, 1989",120,15 - SW